"Carrefour","Réponses","Seul","2 personnes","3-5 personnes","6 personnes et plus","Vert","Clignotant","Rouge","Oui","Non","Trottoir","Chaussée","Terre-plein/refuge/2 temps","Piste cyclable","Ne s'applique pas","Homme","Femme","15-19 ans","20-34 ans","35-64 ans","65 ans et plus","Schéma","Oui","Non","Ligne droite","Diagonale","Autres (préciser)","Trottoir","Terre-plein","Autres",0,"1-5 personnes","Plus de 5 personnes","Plus de 20 personnes","Mouvement tête avant","Mouvement tête pendant","Course (accélaration)","Hésitation","Aucune attention","Dispositif visuel (journal…)","Dispositif auditif (tél, casque…)",,
"CF",66,1,,,,,,1,,1,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",67,1,,,,1,,,1,,1,,,,,1,,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",68,1,,,,1,,,1,,,,,,1,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",69,1,,,,,,1,,1,1,,,,,,1,,,1,,"CF1",1,,,1,,1,,,1,,,,,1,,,,,,,
"CF",70,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF5",,1,,1,,1,,,1,,,,1,,,,,,,,
"CF",71,,,1,,,,1,,1,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",72,,,1,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",73,1,,,,,,1,,1,,,,,1,1,,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",74,1,,,,,,1,,1,,,,,1,,1,,1,,,"CF5",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",75,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",76,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",77,,,1,,1,,,1,,,,,,1,,1,,1,,,"CF1",1,,1,,,1,,,,3,,,,,,,1,,,,
"CF",78,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",79,,,1,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",80,,,1,,1,,,1,,,,,,1,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,1,1,,,,,,,
